chat_id,assigned_topics
28.0,"Topic: Procrastination  
Quote: ""I'm already trying, but I can't always do it.""

Topic: Self-Reflection  
Quote: ""Can you tell me something about why this change is important to you?""

Topic: Motivation and Confidence  
Quote: ""So you're positive about this change overall.""

Topic: Behavioral Change  
Quote: ""What behavioral change do you want to talk about today?"""
29.0,"Topic: Behavioral Change  
Quote: ""I want to procrastinate less""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
31.0,"Topic: Healthy Eating  
Quote: ""It's important to me since I've recently let my diet grind and would like to get back on track.""

Topic: Goal Setting  
Quote: ""I could use specific goals sentences e.g. a desire weight or fast food only once a week, these goals I could stick as a sticker to the fridge.""

Topic: Financial Stability  
Quote: ""I could suffer cravings or lose motivation, the money could also play a role because many healthy producers are not cheap either."""
32.0,"Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Sustainability  
Quote: ""So you want to live more sustainably. Can you tell me something about why this change is important to you?""

Topic: Environment Design  
Quote: ""Perhaps you could consider using public transport, walking or using a bicycle if this is possible and safe."""
33.0,"Topic: Healthy Eating  
Quote: ""So you want to eat healthier. Can you tell me something about why this change is important to you?""

Topic: Weight Loss  
Quote: ""For weight loss, so that I feel more comfortable in my body - but also because my health is important to me.""

Topic: Self-Reflection  
Quote: ""I'm not here to give you tips or recommendations for action, but to get clear about your motives and values."""
36.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier""  

Topic: Emotional Connection to Food  
Quote: ""I like to eat sweet stuff and greasy""  

Topic: Weight Loss  
Quote: ""Weight loss, better well-being""  "
37.0,"Topic: Climate Crisis  
Quote: ""I know that driving a car is harmful to the environment, so it would be better to switch to public transport.""

Topic: Self-Reflection  
Quote: ""As a young person, I see it as my duty to be 'better' than the previous generations to at least mitigate the effects of climate change.""

Topic: Gradual Change  
Quote: ""Every small step counts and can contribute to a bigger change.""

Topic: Environment Design  
Quote: ""It is important that you go at your pace and do only what is feasible and useful for you."""
38.0,"Topic: Healthy Eating  
Quote: ""I feel better when I have a well-worn diet.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
39.0,"Topic: Procrastination  
Quote: ""I'd like to work more efficiently and create more.""

Topic: Motivation and Confidence  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 7""

Topic: Goal Setting  
Quote: ""The prospect of good results is a motivation factor for you. What does a 'good result' mean for you?"""
40.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  
Quote: ""I actually wanted to enter 5 but the interface is buggy""  
Quote: ""What could be the benefits if you were to procrastinate less?""  
Quote: ""Habits can be hard to break and laziness can sometimes stand in our way.""

Topic: Self-Reflection  
Quote: ""It's a good start that you're aware that you want to procrastinate less.""  
Quote: ""What do you think may be possible obstacles on your way to change?"""
41.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""  

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""  

Topic: Motivation and Confidence  
Quote: ""A 9, that's impressive. Your motivation and your desire for change are obviously very strong.""  

Topic: Emotional Well-being  
Quote: ""Bad nutrition has a negative effect on my well-being and my body.""  

Topic: Goal Setting  
Quote: ""Please tell me again what your next step will be concrete."""
42.0,"Topic: Procrastination  
Quote: ""I feel like I'm getting distracted too easily. I want to enjoy my free time, but also make progress with my work.""

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change.""

Topic: Motivation and Confidence  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 8"""
43.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  
Quote: ""So you want to procrastinate less. Can you tell me something about why this change is important to you?""  
Quote: ""I'd like to change something, but I don't have the ambition. It's not as important to me as it is.""  

Topic: Self-Reflection  
Quote: ""It requires a lot of self-confidence and maturity to allow and express this kind of self-knowledge.""  
Quote: ""You are aware of your situation and realize that a change is necessary."""
44.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  

Topic: Self-Reflection  
Quote: ""It's important to me because it puts me under time pressure""  

Topic: Goal Setting  
Quote: ""It can be helpful to set small, achievable goals.""  

Topic: Support System  
Quote: ""If you need support or just need someone to talk to, I'm here for you.""  "
45.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  
Quote: ""because I've already tried but distracted me with my own thoughts despite the lack of devices""  

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal""  
Quote: ""Please tell me more about your attitude. Why didn't you give a higher or lower value?""  

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change""  
Quote: ""What behavioral change do you want to talk about today?""  "
48.0,"Topic: Procrastination  
Quote: ""Because I work inefficiently and let myself be distracted.""

Topic: Self-Reflection  
Quote: ""I want to change it, but I don't know exactly how."""
49.0,"Topic: Healthy Eating  
Quote: ""So you want to eat healthier. Can you tell me something about why this change is important to you?""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Goal Setting  
Quote: ""Could you tell me more about what measures you are already implementing and where exactly you are going to do it?""

Topic: Support System  
Quote: ""I could use tips on how to motivate myself"""
50.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""

Topic: Motivation and Confidence  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 10""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
51.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less because I want to achieve more in my time.""

Topic: Motivation and Confidence  
Quote: ""How ready are you to perform this change on a scale from 0 (not at all) to 10 (very)? 10"""
52.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  

Topic: Self-Reflection  
Quote: ""Can you tell me something about why this change is important to you?""  

Topic: Discipline  
Quote: ""Improve discipline and quality of life""  

Topic: Emotional Well-being  
Quote: ""You get lazy, powerless and unhappy.""  

Topic: Goal Setting  
Quote: ""Your next step will be to create a plan when you do what things.""  "
53.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Self-Reflection  
Quote: ""My goal is to make my diet healthier in the long term.""

Topic: Weight Loss  
Quote: ""That I lose weight and feel generally fitter and more comfortable in my body."""
55.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less. So you want to procrastinate less.""

Topic: Fear of Failure  
Quote: ""I want to achieve more and have less fears of failure.""

Topic: Goal Setting  
Quote: ""Get up early and create a to-do list can help you structure your day and Pomodoro technology can actually help increase productivity and reduce procrastination."""
56.0,"Topic: Procrastination  
Quote: ""I have a bad conscience because I can't concentrate enough on my work. I keep drifting away and doing other things instead, because I work in the home office.""

Topic: Self-Reflection  
Quote: ""So you acknowledge that, despite your tendency to procrastination, you are able to do work."""
57.0,"Topic: Procrastination  
Quote: ""I personally constantly postpone too many things, you are really important to me.""

Topic: Self-Reflection  
Quote: ""I have a longing for the results that this change could bring.""

Topic: Behavioral Change  
Quote: ""You have a clear goal in mind, but you are also satisfied with your current state."""
58.0,"Topic: Procrastination  
Quote: ""I always delay fees in the university very much, so that I then have to do a lot panicically on the last pusher, sometimes then work through for days to get homework done and that makes me feel bad every time.""

Topic: Self-Reflection  
Quote: ""It seems as if you are aware that procrastinating causes stress in your life, but you still have concerns about whether you have enough resources to change your behavior."""
59.0,"Topic: Self-Reflection  
Quote: ""Every journey starts with the first step and it's important that you take the time to explore your thoughts and feelings about this change.""

Topic: Sustainability  
Quote: ""So you want to live more sustainably.""

Topic: Support System  
Quote: ""That sounds like a challenge. It can be difficult to implement changes if not all of them are in the household, but don't let us be discouraged."""
60.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Weight Loss  
Quote: ""I'd like to do something for my body and lose weight.""

Topic: Self-Reflection  
Quote: ""Your own initiative to inform you and deal with the topic speaks for your determination and commitment."""
61.0,"Topic: Fear of Failure  
Quote: ""I am afraid that I will not like the necessary changes, so my motivation is not higher.""

Topic: Sustainability  
Quote: ""Since I am aware that I have to change my actions, because we have already exploited our planet too much.""  

Topic: Behavioral Change  
Quote: ""It is often difficult to make behavioral changes if our environment does not move along.""  

Topic: Environment Design  
Quote: ""There are ways you can still initiate the desired changes.""  

Topic: Meat Consumption  
Quote: ""Less driving, less flying, less eating meat""  "
62.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Weight Loss  
Quote: ""I want to lose weight and think a healthier diet is a start.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
63.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Self-Reflection  
Quote: ""Can you tell me something about why this change is important to you?""

Topic: Goal Setting  
Quote: ""How can I permanently integrate healthy eating into my busy daily life?""

Topic: Motivation and Confidence  
Quote: ""So you're positive about this change overall."""
64.0,"Topic: Fear of Failure  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 0""

Topic: Healthy Eating  
Quote: ""So you want to eat healthier. Can you tell me something about why this change is important to you?"""
65.0,"Topic: Procrastination  
Quote: ""Because I realize that procrastinating prevents me from doing good work. I always put on tasks until the end and then I have to hurry to create them.""

Topic: Goal Setting  
Quote: ""Targets should be specific, measurable, achievable, realistic and timed.""

Topic: Seeking External Support  
Quote: ""I don't know, so I need help."""
66.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""  
Quote: ""When I work productively, I have a good feeling at the end of the day.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""  
Quote: ""It is clear that you have other priorities in your life, but you also recognize the importance of procrastination."""
67.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Weight Loss  
Quote: ""I want to lose weight and deal better with my body.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
69.0,"Topic: Procrastination  
Quote: ""I can't concentrate. I get distracted often and as a result I have procrastination.""

Topic: Motivation and Confidence  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 6""

Topic: Goal Setting  
Quote: ""What could motivate you to move more towards change deadlines probably or a concrete plan with recommendations for action""

Topic: Self-Reflection  
Quote: ""When you think back to this time, what worked differently back then"""
70.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""  
Quote: ""I want to lose weight and improve my health.""  
Quote: ""You have started to eat more regularly, eat less carbohydrates and fatty foods.""

Topic: Goal Setting  
Quote: ""You have a strong desire to eat healthier to lose weight and improve your health.""  
Quote: ""Your current interest in this change is very high, which is shown by the fact that you have already taken some steps in this direction."""
71.0,"Topic: Procrastination  
Quote: ""I find it very difficult to complete projects.""

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change."""
72.0,"Topic: Procrastination  
Quote: ""Because I feel like I can't do anything anymore and just let myself be distracted all day.""

Topic: Self-Reflection  
Quote: ""It's quite natural that you feel that way. It's your decision when and how you want to start this path."""
73.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier""  
Quote: ""Fruits and vegetables are rich in vitamins and minerals and can help you feel full without taking too many calories.""

Topic: Self-Reflection  
Quote: ""This is a very honest self-reflection.""  
Quote: ""It seems that you're willing to change something, but maybe you need some support to know how to proceed."""
74.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Self-Reflection  
Quote: ""Progress is more visible to me on individual projects, harder on the general attitude, because this can change over and over again."""
75.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Fear of Failure  
Quote: ""I stay behind the achievements of my age group and feel like a failure.""

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
76.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Goal Setting  
Quote: ""What would be the best thing that could happen if you stopped procrastinating? More Time for the Essentials""

Topic: Emotional Well-being  
Quote: ""More Time for the Essentials"""
80.0,"Topic: Healthy Eating  
Quote: ""So I can feel better and maybe lose some weight""

Topic: Fear of Failure  
Quote: ""I've tried it before, but I've never gone through with it."""
81.0,"Topic: Procrastination  
Quote: ""I'm pretty productive compared to others, but I'm still procrastinating when it comes to learning or self-development.""

Topic: Self-Reflection  
Quote: ""You have found that you are procrastinating when it comes to dealing with your learning material at home.""

Topic: Fear of Failure  
Quote: ""Your statements suggest that you are afraid to have less fun and to revise yourself if you procrastinate less."""
83.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""  

Topic: Weight Loss  
Quote: ""I want to lose weight and live healthier.""  

Topic: Motivation and Confidence  
Quote: ""So you're positive about this change overall.""  "
84.0,"Topic: Healthy Eating  
Quote: ""Because I want to feel more physically resilient.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change.""

Topic: Seeking External Support  
Quote: ""A personalized diet plan that can be integrated into your daily work could actually be helpful support."""
85.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  

Topic: Motivation and Confidence  
Quote: ""A 7 already shows that this change is important to you.""  

Topic: Self-Reflection  
Quote: ""You've already taken an important first step by recognizing the desire for change and being ready to work on it.""  

Topic: Task Prioritization  
Quote: ""I will try to take a certain time tomorrow, in which no one should disturb me, so that I can then work off first to-dos""  "
86.0,"Topic: Procrastination  
Quote: ""I often feel that I can't do my tasks right. Everything then runs so tough and I don't get to do my other tasks.""

Topic: Self-Reflection  
Quote: ""You are well aware of your challenges in concentrating and you show an honest examination of your situation. This is a strong first step towards change.""

Topic: Goal Setting  
Quote: ""I would like to set myself a 10 minute timer and try to concentrate on one task at this time."""
87.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
88.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Social Relationships  
Quote: ""It's hard for me because there are still a lot of events going on with friends right now.""

Topic: Goal Setting  
Quote: ""Imagine that you have already made this change. What would your life look like in a year if you were to eat healthier food?"""
89.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""

Topic: Motivation and Confidence  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 6""

Topic: Support System  
Quote: ""It seems like you're missing someone who encourages and motivates you. It might be helpful to ask someone around you to take on this role.""

Topic: Reward System  
Quote: ""You could get a reward for certain goals you've achieved. That could help you stay motivated."""
90.0,"Topic: Climate Crisis  
Quote: ""Because humanity in general, and thus every individual, is facing the insane challenge of the climate crisis caused by the fact that we humans do not live and manage sustainably at all and do not take into account the resources available on earth.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values."" 

Topic: Sustainability  
Quote: ""So you're very interested in living more sustainable. That's great!"""
91.0,"Topic: Procrastination  
Quote: ""I let myself be distracted too much by nonessential things such as mobile phone and media and do not come to learn new things or to concentrate at work and privately.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values."""
92.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal."""
93.0,"Topic: Climate Crisis  
Quote: ""I would like to contribute my part to the fact that we are not going to push climate change further and that this will cause a great many people to suffer even more than in part today.""

Topic: Self-Reflection  
Quote: ""I'm not here to give you tips or recommendations for action, but to get clear about your motives and values.""

Topic: Sustainable Living  
Quote: ""I want to live more sustainably""  
Quote: ""You have expressed your desire to live more sustainably and see it as a contribution to combating climate change.""  

Topic: Gradual Change  
Quote: ""Every small step counts.""  
Quote: ""It is important to realize that any change, no matter how small it may be, makes a difference."""
94.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Self-Reflection  
Quote: ""What helped you in the past to successfully implement a change?""

Topic: Gradual Change  
Quote: ""So you want to take a step-by-step approach.""

Topic: Emotional Response  
Quote: ""You stress that you don't want to put pressure on yourself."""
95.0,"Topic: Healthy Eating  
Quote: ""I eat too much fast food, I want to do more good for my body.""

Topic: Goal Setting  
Quote: ""The clear goal would be to eat less fast food and more fresh food.""

Topic: Motivation and Confidence  
Quote: ""I am basically prepared to do so, but I still lack some motivation."""
96.0,"Topic: Procrastination  
Quote: ""I feel like I'm losing a lot of time by procrastinating, which I could actually use better.""

Topic: ADHD  
Quote: ""I have ADHD and know that continuous procrastination is a symptom of it, which is why it will be very difficult to take action against it.""

Topic: Motivation and Confidence  
Quote: ""How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change? 5""

Topic: Self-Reflection  
Quote: ""It is important that you are aware that there are no simple solutions and that it takes time to develop new habits."""
98.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""  
Quote: ""I want to be healthy and fit.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""  
Quote: ""I'm not here to give you tips or recommendations for action, but to get clear about your motives and values."""
99.0,"Topic: Procrastination  
Quote: ""I've got a lot to do and I keep getting stress before the deadline, but I could do anything loose if I was focused.""

Topic: Motivation and Confidence  
Quote: ""I really want to become more productive and see it as an important problem, which I have to tackle."""
100.0,"Topic: Procrastination  
Quote: ""I push up unpleasant tasks and surf the Internet instead.""

Topic: Motivation and Confidence  
Quote: ""Your motivation is obviously strong.""

Topic: Self-Reflection  
Quote: ""Can you tell me something about why this change is important to you?"""
101.0,"Topic: Healthy Eating  
Quote: ""I am convinced that healthy nutrition has a positive effect on physical well-being and helps me improve my performance level in sports.""

Topic: Self-Reflection  
Quote: ""It might be helpful to understand what healthy nutrition means to you personally.""

Topic: Emotional Response  
Quote: ""You're right, proteins are an important part of our diet and meat is a good source of protein. You wonder how much meat you can eat without getting unhealthy."""
102.0,"Topic: Procrastination  
Quote: ""I see myself repeating the same behavior patterns over and over again, but I can't break them.""

Topic: Fear of Failure  
Quote: ""Often also the fear of failure, therefore I do not start until it is almost too late, so to speak."""
103.0,"Topic: Goal Setting  
Quote: ""because I want to change something and I want to change it immediately""

Topic: Healthy Eating  
Quote: ""so that I feel comfortable in my body""

Topic: Motivation and Confidence  
Quote: ""That sounds like you are very confident about this change.""

Topic: Behavioral Change  
Quote: ""It's important that you set realistic goals and don't overpower yourself."""
104.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""

Topic: Self-Reflection  
Quote: ""You show an impressive ability to self-reflect and to recognize what you need."""
105.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier. So you want to eat healthier. Can you tell me something about why this change is important to you?""

Topic: Goal Setting  
Quote: ""I think I'm very motivated because I'm very ambitious overall and this change helps me achieve my goal.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values."""
106.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  
Quote: ""So you're ready to tackle this change because you really want it.""

Topic: Goal Setting  
Quote: ""Create a learning plan or a todo plan""  
Quote: ""How would you start with it?"""
