chat_id,topic
98.0,Healthy Eating
98.0,Self-Reflection
99.0,Procrastination
99.0,Motivation and Confidence
100.0,Procrastination
100.0,Motivation and Confidence
100.0,Self-Reflection
101.0,Healthy Eating
101.0,Self-Reflection
101.0,Emotional Response
102.0,Procrastination
102.0,Fear of Failure
103.0,Goal Setting
103.0,Healthy Eating
103.0,Motivation and Confidence
103.0,Behavioral Change
104.0,Procrastination
104.0,Self-Reflection
105.0,Healthy Eating
105.0,Goal Setting
105.0,Self-Reflection
106.0,Procrastination
106.0,Goal Setting
107.0,Healthy Eating
107.0,Fear of Failure
107.0,Self-Reflection
108.0,Procrastination
108.0,Motivation and Confidence
108.0,Goal Setting
109.0,Procrastination
109.0,Fear of Failure
109.0,Motivation and Confidence
109.0,Self-Reflection
110.0,Healthy Eating
110.0,Stress Management
110.0,Goal Setting
111.0,Procrastination
111.0,Self-Reflection
112.0,Procrastination
112.0,Behavioral Change
112.0,Self-Reflection
113.0,Procrastination
113.0,Self-Reflection
113.0,Support System
113.0,Goal Setting
114.0,Procrastination
114.0,Self-Reflection
114.0,Behavioral Change
114.0,ADHD
115.0,Procrastination
115.0,Self-Reflection
115.0,Behavioral Change
115.0,Emotional Well-being
116.0,Procrastination
116.0,Self-Reflection
116.0,Motivation and Confidence
117.0,Procrastination
117.0,Self-Reflection
117.0,Behavioral Change
118.0,Procrastination
118.0,Self-Reflection
118.0,Goal Setting
118.0,Risk-Taking
120.0,Healthy Eating
120.0,Weight Loss
120.0,Emotional Connection to Food
120.0,Support System
120.0,Discipline
121.0,Procrastination
121.0,Self-Reflection
122.0,Self-Reflection
122.0,Climate Crisis
122.0,Sustainability
122.0,Discipline
123.0,Procrastination
123.0,Self-Reflection
123.0,Goal Setting
124.0,Procrastination
124.0,Self-Reflection
124.0,Discipline
124.0,Goal Setting
124.0,Reward System
125.0,Procrastination
125.0,Self-Reflection
126.0,Healthy Eating
126.0,Weight Loss
126.0,Self-Reflection
127.0,Procrastination
127.0,Fear of Failure
129.0,Procrastination
129.0,Behavioral Change
129.0,Motivation and Confidence
129.0,Self-Reflection
129.0,Exercise
130.0,Procrastination
130.0,Self-Reflection
130.0,Goal Setting
131.0,Healthy Eating
131.0,Motivation and Confidence
131.0,Goal Setting
132.0,Procrastination
132.0,Fear of Failure
132.0,Self-Reflection
133.0,Fear of Failure
133.0,Healthy Eating
133.0,Motivation and Confidence
133.0,Emotional Connection to Food
135.0,Procrastination
135.0,Self-Reflection
136.0,Healthy Eating
136.0,Self-Reflection
136.0,Behavioral Change
136.0,Goal Setting
137.0,Procrastination
137.0,Self-Reflection
137.0,Goal Setting
138.0,Procrastination
138.0,Motivation and Confidence
140.0,Procrastination
140.0,Self-Reflection
141.0,Procrastination
141.0,Behavioral Change
141.0,Self-Reflection
141.0,Distraction Management
141.0,Goal Setting
144.0,Procrastination
144.0,Motivation and Confidence
144.0,Goal Setting
145.0,Procrastination
145.0,Fear of Failure
145.0,Emotional Response
146.0,Procrastination
146.0,Self-Reflection
146.0,Goal Setting
147.0,Procrastination
147.0,Motivation and Confidence
147.0,Emotional Response
148.0,Fear of Failure
148.0,Climate Crisis
148.0,Self-Reflection
149.0,Procrastination
149.0,Self-Reflection
149.0,Motivation and Confidence
149.0,Social Media Influence
150.0,Sustainability
150.0,Waste Management
150.0,Environment Design
151.0,Procrastination
151.0,Self-Reflection
152.0,Healthy Eating
152.0,Self-Reflection
152.0,Behavioral Change
152.0,Emotional Response
153.0,Procrastination
153.0,Self-Reflection
153.0,Goal Setting
156.0,Procrastination
156.0,Behavioral Change
156.0,Self-Reflection
156.0,Use of To-Do Lists
157.0,Procrastination
157.0,Self-Reflection
158.0,Sustainable Living
158.0,Behavioral Change
158.0,Environment Design
160.0,Procrastination
160.0,Self-Reflection
160.0,Emotional Well-being
160.0,Support System
161.0,Healthy Eating
161.0,Goal Setting
161.0,Fear of Failure
162.0,Healthy Eating
162.0,Fear of Failure
162.0,Self-Reflection
165.0,Healthy Eating
165.0,Self-Reflection
165.0,Goal Setting
167.0,Procrastination
167.0,Motivation and Confidence
167.0,Behavioral Change
167.0,Goal Setting
168.0,Procrastination
168.0,Self-Reflection
170.0,Procrastination
170.0,Self-Reflection
171.0,Procrastination
171.0,Self-Reflection
172.0,Fear of Failure
172.0,Healthy Eating
172.0,Weight Loss
172.0,Motivation and Confidence
175.0,Procrastination
175.0,Self-Reflection
176.0,Climate Crisis
176.0,Sustainability
176.0,Behavioral Change
176.0,Second-Hand Shopping
176.0,Social Media Influence
177.0,Climate Crisis
177.0,Fear of Failure
177.0,Comfort Zone
177.0,Transportation Choices
177.0,Financial Stability
178.0,Procrastination
178.0,Self-Reflection
178.0,Behavioral Change
178.0,Emotional Well-being
179.0,Procrastination
179.0,Self-Reflection
181.0,Procrastination
181.0,Academic Success
181.0,Motivation and Confidence
181.0,Behavioral Change
182.0,Healthy Eating
182.0,Self-Reflection
182.0,Goal Setting
183.0,Procrastination
183.0,Goal Setting
183.0,Self-Reflection
183.0,Emotional Response
186.0,Procrastination
186.0,Self-Reflection
186.0,Motivation and Confidence
188.0,Procrastination
188.0,Fear of Failure
189.0,Procrastination
189.0,Self-Reflection
190.0,Procrastination
190.0,Self-Reflection
190.0,Distraction Management
190.0,Goal Setting
191.0,Procrastination
191.0,Self-Reflection
191.0,Motivation and Confidence
191.0,Goal Setting
191.0,Behavioral Change
192.0,Procrastination
192.0,Self-Reflection
