,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,user_utterance_english,bot_utterance_english,Contained technical issue
11,12,8,1.0,2023-08-07 15:47:41.744613,Das wäre sehr schön und eine Verbesserung meiner Lebendqualität.,change,Reason,General Reason,Elaboration,2023-08-07 15:47:53.840951,"Es klingt, als ob du dir eine höhere Lebensqualität wünscht und glaubst, dass weniger Prokrastination dazu beitragen könnte. Gibt es noch andere Aspekte, die du verbessern möchtest, wenn du weniger prokrastinierst",gut/hilfreich,Passt einfach.,change,Reason,General Reason,That would be very nice and an improvement in my living quality.,It sounds like you want a higher quality of life and think that less procrastination could contribute to it. Are there other aspects you want to improve if you procrastinate less?,1.0
12,13,1,3.0,2023-08-07 15:48:26.405582,start,Follow/Neutral,,,,2023-08-07 15:48:28.583977,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
13,14,9,1.0,2023-08-07 15:48:48.537077,Mehr Zeit mit Freunden und Familie verbringen.,Follow/Neutral,,,Elaboration,2023-08-07 15:48:56.976131,"Du würdest also gerne mehr Zeit mit deinen Liebsten verbringen, wenn du weniger prokrastinieren würdest. Wie sehr glaubst du, dass diese Veränderung dazu beitragen würde, mehr Zeit mit Freunden und Familie zu verbringen",gut/hilfreich,Passt ,Follow/Neutral,,,Spend more time with friends and family.,So you would like to spend more time with your loved ones if you were to procrastinate less. How much do you think this change would help to spend more time with friends and family?,1.0
14,15,2,3.0,2023-08-07 15:48:57.305736,Ich möchte weniger prokrastinieren,change,Reason,desire,,2023-08-07 15:48:59.433527,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to procrastinate less,So you want to procrastinate less. Can you tell me something about why this change is important to you?,0.0
15,16,5,2.0,2023-08-07 15:49:57.701338,"Ich müsste mir eine neue Geldanlage ansehen oder zumindest eine bestehende aufstocken, mag mich aber nicht in die Optionen einlesen. ",sustain,Reason,desire,,2023-08-07 15:50:16.921313,"Es ist verständlich, dass du dich überfordert fühlst, dich in die verschiedenen Optionen einzulesen, besonders wenn es um so wichtige Themen wie deine Finanzen geht. 

Aber denk daran, dass sich diese Anstrengung letztendlich auszahlen wird, indem du eine gut informierte Entscheidung triffst, die im besten Fall dein finanzielles Wohlergehen verbessert. 

Um den Prozess",gut/hilfreich,Ist halt so. ,sustain,Reason,desire,"I would have to look at a new investment or at least increase an existing investment, but I don't like reading into the options.","It is understandable that you feel overwhelmed to read into the various options, especially when it comes to issues as important as your finances. But remember that this effort will ultimately pay off by making a well-informed decision that will improve your financial well-being at best.",0.0
16,17,3,3.0,2023-08-07 15:49:59.333303,"Ich bin unproduktiv und brauche länger als nötig, um meine Arbeit zu machen. Wenn ich das ändern könnte, hätte ich mehr Freizeit.",change,Reason,ability,,2023-08-07 15:50:03.50903,"Wie zuversichtlich bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), dass du diese Veränderung durchführen kannst?",,,change,Reason,ability,"I'm unproductive and I need longer than I need to do my job. If I could change that, I'd have more free time.",How confident are you on a scale from 0 (not at all) to 10 (very) that you can make this change?,0.0
17,18,4,3.0,2023-08-07 15:50:14.206622,8,Follow/Neutral,,,,,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,8,An 8. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
18,19,1,4.0,2023-08-07 15:50:31.396686,start,Follow/Neutral,,,,2023-08-07 15:50:32.984264,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
19,20,10,1.0,2023-08-07 15:50:32.403839,"Glaube sehr stark, da ich viel Zeit mit Daddelei verbringe.",Follow/Neutral,,,Summary,2023-08-07 15:50:48.960956,"Lass mich unser bisheriges Gespräch zusammenfassen. Du glaubst also stark daran, dass weniger Prokrastination dir mehr Zeit mit deinen Freunden und deiner Familie ermöglichen würde, da du momentan viel Zeit mit ""Daddelei"" verbringst. Du fühlst dich bereit für eine Veränderung und hast das Gefühl, dass du jetzt etwas ändern musst, obwohl du dir das schon oft gesagt hast. Du gibst zu, dass Alltag und Faulheit Hindernisse für dich darstellen, aber du siehst auch das Potential für eine verbesserte Lebensqualität und mehr Zeit mit den Menschen, die dir wichtig sind. Habe ich noch etwas vergessen?",gut/hilfreich,Gut zusammengefasst,Follow/Neutral,,,"Think very strongly, since I spend a lot of time with Daddelei.","So you strongly believe that less procrastination would give you more time with your friends and family, as you spend a lot of time with ""daddy"" right now. You feel ready for a change and you feel that you have to change something now, even though you've told yourself that many times. You admit that everyday life and laziness are obstacles to you, but you also see the potential for an improved quality of life and more time with the people you care about. Have I forgotten something yet?",1.0
20,21,2,4.0,2023-08-07 15:50:58.178409,Ich möchte mich gesünder ernähren,change,Reason,desire,,2023-08-07 15:50:59.79789,"Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to eat healthier,So you want to eat healthier. Can you tell me something about why this change is important to you?,0.0
21,22,5,3.0,2023-08-07 15:51:20.698319,"Ich will mich wirklich verändern, weiß aber nicht genau wie. Daher die 8",change,Reason,desire,,2023-08-07 15:51:26.981374,"Das ist eine gute Ausgangsbasis, da du schon sehr zuversichtlich bist. Was könnte diese zwei Punkte ausmachen, die dir noch fehlen, um eine 10 zu erreichen",gut/hilfreich,"Die Antwort ist hilfreich, weil sie mir einen Denkanstoß gibt.",change,Reason,desire,"I really want to change, but I don't know exactly how.",This is a good starting point because you are already very confident. What could make up these two points that you still need to reach a 10,0.0
22,23,6,2.0,2023-08-07 15:51:24.098078,"Keine Ahnung, was du jetzt hören willst. ",Follow/Neutral,,,,2023-08-07 15:51:34.494324,"Entschuldigung, wenn das missverständlich war. Ich versuche, dir dabei zu helfen, deine Ziele zu erreichen, indem ich dir dabei helfe, einen Plan zu erstellen. 

Es kann hilfreich sein, sich kleinere, erreichbare Ziele zu setzen. Anstatt zu versuchen, alles auf einmal zu erledigen, könntest du zum Beispiel beginnen, indem du dir vornimmst, nur 20 Minuten pro Tag in",schlecht/unpassend,Antwort ist nicht vollständig,Follow/Neutral,,,I don't know what you want to hear now.,"I'm sorry if that was misunderstood. I'm trying to help you achieve your goals by helping you to create a plan. It can be helpful to set smaller, achievable goals. Instead of trying to do everything at once, for example, you could start by doing just 20 minutes a day in the first place.",0.0
23,24,3,4.0,2023-08-07 15:51:30.781982,"Ich möchte langfristig meiner Ernährung ändern, um fitter und gesünder zu werden.",change,Reason,desire,,2023-08-07 15:51:33.99597,Wie bereit bist du auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr) diese Veränderung durchzuführen?,,,change,Reason,desire,I want to change my diet in the long term to become fitter and healthier.,How ready are you to perform this change on a scale from 0 (not at all) to 10 (very)?,0.0
24,25,1,5.0,2023-08-07 15:51:36.413884,start,Follow/Neutral,,,,2023-08-07 15:51:38.029702,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
25,26,4,4.0,2023-08-07 15:51:41.389698,6,Follow/Neutral,,,,2023-08-07 15:51:42.990616,Eine 6. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,6,A 6. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
26,27,11,1.0,2023-08-07 15:52:05.301683,Nein.,Follow/Neutral,,,Next Steps,2023-08-07 15:52:07.455121,Verstanden! Bitte verrate mir abschließend nochmal was dein nächster Schritt konkret sein wird.,schlecht/unpassend,Ich dachte das sagt mir der Chatbot.,Follow/Neutral,,,Nope.,Please tell me again what your next step will be concrete.,1.0
27,28,2,5.0,2023-08-07 15:52:07.786167,Ich möchte mich gesünder ernähren,change,Reason,desire,,2023-08-07 15:52:09.532684,"Du möchtest also gesünder essen. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to eat healthier,So you want to eat healthier. Can you tell me something about why this change is important to you?,0.0
28,29,5,4.0,2023-08-07 15:52:19.837726,"Ich möchte die Veränderung zwar durchführen, kann mich der Sache aber noch nicht zu 100% verschreiben.",change,Reason,desire,Continuing the Paragraph,2023-08-07 15:52:27.814923,"Du bist also bereit, eine Veränderung herbeizuführen, aber es gibt offensichtlich noch einige Unsicherheiten, die dich davon abhalten, dich vollständig zu engagieren. Was sind einige dieser Unsicherheiten oder Ängste, die dich daran hindern, dich zu 100% zu engagieren",gut/hilfreich,Hilft zu reflektieren,change,Reason,desire,"I want to make the change, but I can't yet prescribe 100% of it.","So you're willing to make a change, but there are obviously some uncertainties that keep you from fully engaging. What are some of these uncertainties or fears that prevent you from 100% engaging?",0.0
29,30,7,2.0,2023-08-07 15:53:03.732572,"Ich glaube nicht, dass diese Vorgehensweise zielführend ist. Das muss ich schon am Stück erledigen. ",sustain,Reason,need,,2023-08-07 15:53:17.656097,"Das ist absolut verständlich – manchmal ist es effektiver, eine Aufgabe in einem Rutsch zu erledigen, anstatt sie aufzuteilen. In diesem Fall könnte es hilfreich sein, einen bestimmten Zeitpunkt festzulegen, an dem du dich dieser Aufgabe widmest. 

Einen festen Termin in deinem Kalender zu haben, kann dazu beitragen, dass diese Aufgabe Priorität erhält. Es könnte auch hil",schlecht/unpassend,Wieder nicht vollständig,sustain,Reason,need,"I don't think this is a good approach, and I'm gonna have to do it all the time.","That's absolutely understandable – sometimes it's more effective to do a task in one slide instead of splitting it up. In this case, it might be helpful to set a specific time when you're dedicated to this task. Having a fixed date in your calendar can help to make this task a priority. It could also help you get a job done.",0.0
30,31,12,1.0,2023-08-07 15:53:13.40148,"Ich dachte, das sagst du mir.",Follow/Neutral,,,Goodbye,2023-08-07 15:53:15.764283,"Vielen Dank für deine Offenheit in unserem Gespräch. 
                            Ich hoffe es hat dir dabei geholfen, deinem Ziel zumindest gedanklich etwas näher zu kommen.",,,Follow/Neutral,,,I thought you'd tell me.,Thank you for your openness in our conversation. I hope it helped you at least to get a little closer to your goal.,1.0
31,32,3,5.0,2023-08-07 15:53:17.113865,"Ich bin übergewichtig und möchte abnehmen, dabei aber langfristig gesund ernähren.",change,Reason,desire,,2023-08-07 15:53:20.313197,Wie wichtig ist dir diese Veränderung auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr),,,change,Reason,desire,"I am overweight and want to lose weight, but I want to eat healthy in the long term.",How important is this change on a scale from 0 (not at all) to 10 (very),0.0
32,33,4,5.0,2023-08-07 15:53:30.571196,9,Follow/Neutral,,,,2023-08-07 15:53:32.219772,Eine 9. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,9,A 9. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
33,34,6,4.0,2023-08-07 15:53:42.931583,Ich bin mir nicht sicher ob ich es schaffe,sustain,Reason,ability,Undershooting,2023-08-07 15:53:47.857856,"Du hast also Zweifel, ob du die Veränderung schaffen kannst. Was sind die größten Hindernisse, die du siehst",schlecht/unpassend,,sustain,Reason,ability,I'm not sure I can do it,So you have doubts as to whether you can make the change. What are the biggest obstacles you see?,0.0
34,35,8,2.0,2023-08-07 15:54:14.197841,Kann ich ja mal versuchen,Follow/Neutral,,,,2023-08-07 15:54:30.433924,"Das klingt nach einem guten Plan! Setze einen konkreten Termin in deinem Kalender, an dem du dich mit den Optionen für deine Geldanlage auseinandersetzt. Versuche, diesen Termin wie einen wichtigen Geschäftstermin zu behandeln, den du nicht verschieben oder absagen kannst. 

Es ist auch wichtig, sich zu erinnern, dass niemand perfekt ist. Es ist okay, wenn du nicht jeden Tag 100%",schlecht/unpassend,unvollständige Antwort,Follow/Neutral,,,Can I try it?,"That sounds like a good plan! Set a specific appointment in your calendar, where you deal with the options for your investment. Try to treat this appointment like an important business appointment that you can't postpone or cancel. It's also important to remember that no one is perfect. It's okay if you don't 100% every day.",0.0
35,36,6,3.0,2023-08-07 15:54:24.295649,"Vielleicht könnte ich mir ausmalen, was ich mit der gewonnenen Zeit alles machen könnte.",Follow/Neutral,,,,2023-08-07 15:54:31.343237,"Das ist ein ausgezeichneter Ansatz! Stell dir vor, du hast mehr Freizeit zur Verfügung. Was würdest du mit dieser zusätzlichen Zeit anfangen",gut/hilfreich,Die Antwort geht auf meine Antwort ein und ist ein guter Gedankenanstoß,Follow/Neutral,,,Maybe I could figure out what I could do with the time I've won.,This is an excellent approach! Imagine having more free time at your disposal. What would you do with this extra time?,0.0
36,37,7,4.0,2023-08-07 15:54:36.63244,Das ich langfristig wieder in alte Verhaltensmuster zurückfalle,change,Reason,ability,Digging Deep,2023-08-07 15:54:44.294633,"Die Sorge, in alte Verhaltensmuster zurückzufallen, scheint eine große Hürde für dich zu sein. Was sind die spezifischen Verhaltensmuster, die du meinst",gut/hilfreich,,change,Reason,ability,That I'm falling back into old behavior patterns in the long run,The concern of falling back into old behavioral patterns seems to be a big hurdle for you. What are the specific behavioral patterns you mean?,0.0
37,38,5,5.0,2023-08-07 15:54:42.89818,"Bei einem höheren Wert hätte ich mehr getan als jetzt. Bei einem niedrigeren Wert sehe ich nicht, weil ich schon öfter darüber nachdenke und versuche erstmal weniger zu essen.",change,Reason,General Reason,,2023-08-07 15:54:56.306619,"Das ist eine gute Selbsteinschätzung. Du hast bereits erkannt, dass du mehr tun könntest, aber du hast auch schon einige Schritte unternommen, um dein Essverhalten zu ändern. 

Was denkst du könntest du tun, um deine Motivation von 9 auf eine 10 zu bringen",gut/hilfreich,"Ich werde für meine Selbsteinschätzung gelobt und gefragt, was ich glaube ich mehr tun könnte.",change,Reason,General Reason,"At a higher value I would have done more than now. At a lower value I don't see, because I think about it more often and try to eat less.","That's a good self-assessment. You've already realized that you could do more, but you've also taken some steps to change your eating habits. What do you think you could do to get your motivation from 9 to 10",0.0
38,39,9,2.0,2023-08-07 15:55:20.504939,"ok, danke",Follow/Neutral,,,,2023-08-07 15:55:34.522922,"Gern geschehen! Ich hoffe, dass unser Gespräch dir dabei hilft, deinen Weg zur Überwindung der Prokrastination zu finden. Denk daran, dass Veränderungen Zeit brauchen und es völlig normal ist, Rückschläge zu erleben. Bleib geduldig mit dir selbst und feiere kleine Erfolge. Wenn du weitere Unterstützung oder Motivation brauchst, bin ich hier.",gut/hilfreich,Gibt ein gutes Gefühl,Follow/Neutral,,,"Okay, thank you.","You're welcome! I hope that our conversation will help you find your way to overcome procrastination. Remember that changes need time and it is perfectly normal to experience setbacks. Stay patient with yourself and celebrate small successes. If you need further support or motivation, I'm here.",0.0
39,40,8,4.0,2023-08-07 15:55:35.63264,Zum Beispiel bei Grillfeiern viel Fleisch zu essen und ungesunde Getränke zu trinken,change,Taking Steps,,Reviewing Past Successes,2023-08-07 15:56:37.100237,"Das sind in der Tat spezifische Situationen, die eine Herausforderung darstellen können. Gab es in der Vergangenheit schon einmal eine Zeit, in der du erfolgreich eine ähnliche Herausforderung gemeistert hast",gut/hilfreich,,change,Taking Steps,,"For example, at barbecues, eating a lot of meat and drinking unhealthy drinks","These are indeed specific situations that can present a challenge. In the past, there has been a time when you have successfully mastered a similar challenge.",0.0
40,41,7,3.0,2023-08-07 15:56:08.5954,"Ich würde mehr Sport machen. Eigentlich will ich schon seit langem an einem Halbmarathon teilnehmen, aber dafür müsste ich viel Zeit fürs Training investieren. Und diese Zeit fehlt mir momentan.",change,Reason,desire,,2023-08-07 15:56:20.693954,"Das ist ein großartiges Ziel! Es scheint, als hättest du bereits eine ziemlich klare Vorstellung davon, wie du deine zusätzliche Zeit nutzen möchtest. Stell dir vor, wie es sich anfühlen würde, an diesem Halbmarathon teilzunehmen und ihn zu beenden. Wie könnte sich das auf dein Leben auswirken",gut/hilfreich,"Der Chatbot geht auf meine Ideen ein, greift sie auf und entwickelt daraus einen Gedankenanstoß.",change,Reason,desire,"I would do more sports. Actually, I've been wanting to take part in a half marathon for a long time, but I'd have to spend a lot of time training for that, and I'm missing this time right now.",That's a great goal! It seems you already have a pretty clear idea of how you want to use your extra time. Imagine how it would feel to participate in this half marathon and end it. How could that affect your life?,0.0
41,42,10,2.0,2023-08-07 15:56:22.99949,Danke,Follow/Neutral,,,Summary,2023-08-07 15:56:51.035261,"Lass mich unser bisheriges Gespräch zusammenfassen. Du hast zum Ausdruck gebracht, dass du weniger prokrastinieren möchtest. Es gibt wichtige Aufgaben, die du aufschiebst und die unerledigt bleiben, was dich im Nachhinein ärgert. Du siehst die Notwendigkeit und den Nutzen darin, weniger zu prokrastinieren, findest es jedoch schwierig, dich dazu aufzuraffen und anzufangen. Ein konkretes Beispiel, das du angeführt hast, ist die Notwendigkeit, dich mit neuen Geldanlagen zu befassen oder bestehende aufzustocken. Du hast jedoch Schwierigkeiten, dich in die verschiedenen Optionen einzulesen. Du hast auch Zweifel geäußert, ob eine schrittweise Herangehensweise in diesem Fall zielführend ist, und vorgeschlagen, dass du diese Aufgabe lieber in einem Rutsch erled Habe ich noch etwas vergessen?",schlecht/unpassend,Eigentlich bin ich gedanklich mit dem Gespräch schon durch und finde diese Antwort gerade lästig und überflüssig. ,Follow/Neutral,,,Thank you,"Let me sum up our conversation so far. You have said that you want to procrastinate less. There are important tasks that you postpone and that remain unfinished, which annoys you in retrospect. You see the need and the benefits of procrastinating less, but you find it difficult to pick up and start. A concrete example that you have cited is the need to deal with new investments or to increase existing ones. However, you have difficulty reading into the different options. You have also expressed doubts as to whether a gradual approach in this case is objective, and suggested that you prefer to lose this task in one slip Have I forgotten something yet?",0.0
42,43,6,5.0,2023-08-07 15:56:39.497012,"Mir anfangen einen Essplan zu erstellen, mich mehr über Nahrungsmittel zu informieren.",change,Commitment,,,2023-08-07 15:56:50.167944,"Das sind großartige Ideen! Sich zu informieren und einen Ernährungsplan zu erstellen sind effektive Maßnahmen, um den Weg zu einer gesünderen Ernährung zu ebnen. Wie denkst du könntest du diese Maßnahmen in deinen Alltag einbauen",gut/hilfreich,"Die Antwort ist passend zu meinem Text und ich werde gefragt, wie ich vorgehen will.",change,Commitment,,"I'm starting to create an eating plan, get more information about food.",These are great ideas! Inform yourself and create a diet plan are effective measures to pave the way to a healthier diet. How do you think you could incorporate these measures into your everyday life?,0.0
